//
// Dumped for Honey Select 2 v1.1.3 by Text Dump v1.4.1
//
//普通{0}=Normal{0}
まったく、なんて量をかけやがる。しばらく匂いがこびりつきそうだ。=Ugh, você realmente teve que ejacular tanto? Vou cheirar mal durante dias...
オマエ、いくらなんでも出し過ぎだろう？　しかもこんなにかけやがって、オレを真っ白にしたかったのか？=Você não acha que isso é meio absurdo? Você realmente queria que eu ficasse pintada de branca com tinta de porra?
//好意{0}=Amor{0}
オレにマーキングか？　用意周到なやつだ。そんなに気に入ってんなら、まぁ嫌な気はしないな。=Você está tentando me marcar com sua porra, como um cachorro mijando em uma árvore? Huh, acho que eu deveria ficar lisonjeada...
これだけかけられりゃ、嫌でも匂いを覚えちまうな。ハッ、これでオレを、オマエの女にしたつもりか？=Com tanta porra não há como eu esquecer seu cheiro... Espere, esse foi o seu plano o tempo todo?
//享楽{0}=Excitada {0}
量も凄いが、匂いも濃さもやばいな。どんだけ溜めてきたんだ？　オレとするのが、そんなに楽しみだったのか？=A quantidade é grande, mas o cheiro e a espessura são horríveis. Há quanto tempo você está acumulando isso? Você estava realmente ansioso para fazer isso comigo, né?
はぁ、体中ドロドロだ。この感じは嫌いじゃない。お互いヤリ切ったって感じがするだろう？=Ótimo, agora meu corpo inteiro está todo viscoso e pegajoso. Na verdade, só entre você e eu? Eu meio que gostei desta foda.
//嫌悪{0}=Ódio {0}
ったく、きたねぇもんをさんざんぶっかけやがって。少しはこっちの迷惑も考えろ、アホ。=Ugh, olha só para todo essa porra nojenta e imunda que você jogou sobre mim... Sério, você poderia ser mais sem consideração?
これ、洗ったら落ちるんだろうな？　絶対匂いは残るだろ……こんなくせーんだからよ。=Isto se lava no chuveiro, certo? Ugh, espero que lave. Não posso suportar muito mais este fedor horrível.
//隷属{0}=Submissa {0}
よくもまぁ、こんなに出せるな。オマエの匂いが、全身に染み付いちまいそうだ。嬉しいことをしてくれるじぇねぇか。=Porra, muito bom, isso foi uma carga brutal. Com certeza vou cheirar como você por um bom tempo...
ハッ、出し過ぎだな。これはもう、オレが全部搾り取ったってことでいいのか？　ちゃんと言わないと、また出させるぞ？=Há, isso foi demais. Significa que eu já espremi todo o suco de você? Se você não me responder, eu vou fazer de novo.
//依存{0}=Dependência {0}
オマエ、分かってるじゃねぇか。そうだ、これくらいぶっかけられなきゃ、ヤったって気がしねぇよなぁ。=Finalmente, um cara que consegue! Quanto maior e mais pegajosa a carga de porra, mais satisfeita me sinto depois do sexo.
あぁ、オマエの匂いでクラクラしてきた。これだけでもしばらくは、気持ちよくなってられそうだ。=Ahhh, o cheiro de sua carga de porra quente está me deixando tonta... Eu juro, eu quase conseguiria gozar só com isso...
